NÂ°,CODIGO INFRACCION,TIPO DE VIA,LUGAR DE INTERVENCION,EMPRESA DE TRANSPORTE,CLUSTER
1911,N56,AVENIDA,BENAVIDES,HOLDING REAL EXPRESS,59
1913,R05,AVENIDA,AREQUIPA,PROMOCION DE ORO RUMBO 2000,10
1914,U11,CALLE,RECAVARREN,DISTRIBUIDORA PACI SRL.,6
1915,N58,AVENIDA,BENAVIDES,HOLDING EXPRESS,8
1916,U11,AVENIDA,GRAU,CONCRET. MAX SA.,49
1917,U11,AVENIDA,GRAU,CONCRET. MAX SA.,49
1920,U04,AVENIDA,PETIT THOAURS,DISTRIBUCIONES ROBASA,5
1925,N26,AVENIDA,O.R. BENAVIDES,ET. TRANSLIMA SA.,82
1927,U04,AVENIDA,RICARDO PALMA,DURAND PALOMINO E.,27
1928,R05,AVENIDA,PASEO DE LA REP.,ET. 06 DE SETIEMBRE,10
1929,U04,AVENIDA,DIEZ CANSECO,DISTRIBUIDORA PACI,50
1930,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA,5
1932,N56,CALLE,ATAHUALPA,BANCHERO ROSI,35
1934,N56,AVENIDA,O.R. BENAVIDES,ETRASCPSA,59
1936,N56,AVENIDA,PASEO DE LA REP.,ESPECIAL SOLIDARIDAD,65
1937,N56,AVENIDA,PASEO DE LA REP.,AQUARIUS EXPRESS,65
1940,U04,AVENIDA,DIEZ CANSECO,DISTRIBUIDORA PACI SRL.,50
1941,N56,CALLE,DOS DE MAYO,RAMIRO PRIALE,35
1942,R12,AVENIDA,RICARDO PALMA,ET. MOLITOURS EIRL.,100
1944,U04,CALLE,JUAN FANNING,DISTRIBUIDORA PACI SRL.,5
1945,R15,AVENIDA,BENAVIDES,ET. J&J TOURS SAC.,179
1950,U11,CALLE,LAS DALIAS,RANSA COMERCIAL SA.,6
1951,U11,CALLE,FRANCIA,DISTRIBUIDORA PACI SRL.,6
1952,U04,CALLE,LOS PINOS,RANSA COMERCIAL SA.,118
1960,U07,CALLE,CONTRALMIRANTE MONTERO,TRANSP. PERALTA E HIJOS,6
1965,U11,AVENIDA,LA PAZ,VEND SAC.,49
1966,U07,CALLE,CONTRALMIRANTE MONTERO,RAMSA COMERCIAL,6
1969,U11,CALLE,SAN MARTIN,COMERCIALIZADORA CANAN,135
1970,U04,CALLE,LOS PINOS,DISTRIBUCIONES ROBASA SAC,5
1971,R12,AVENIDA,PETIT THOUARS,GIRACORP G. DE N. Y S. MULTIPLES,100
1972,R05,AVENIDA,AREQUIPA,ET. MULT. SEBASLER,10
1974,U11,CALLE,CONTRALMIRANTE MONTERO,TRANS LIMA CARGA,6
1975,U07,AVENIDA,PASEO DE LA REP.,DISTRIBUIDORA PACI SRL.,96
1976,U11,CALLE,LOS PINOS,TRANSPORTES 77 SA.,6
1977,N26,AVENIDA,BENAVIDES,HRE EXPRESS,8
1978,N56,AVENIDA,BENAVIDES,HOLREX EXPRESS,8
1979,N56,AVENIDA,PETIT THOUARS,RAMIRO PRIALE,49
1981,R05,AVENIDA,PETIT THOUARS,INV. Y NEG. GOLD TOURS SRL.,10
1986,R05,AVENIDA,AREQUIPA,SERV. MULT. MOBI Y DICK,10
1987,N56,AVENIDA,ANGAMOS OESTE,ETMIMSA,35
1988,R05,AVENIDA,AREQUIPA,ET. CALLAO TAXI SAC,10
1989,N26,AVENIDA,GENERAL CORDOVA,ETMIMSA,78
1990,R05,AVENIDA,AREQUIPA,ET. ESPECIALES CHAVEZ,10
1991,N56,AVENIDA,BENAVIDES,HOLDING REAL EXPRESS,59
1993,N56,AVENIDA,BENAVIDES,HOLDING REAL EXPRESS,59
1996,U11,CALLE,CONTRALMIRANTE MONTERO,LA CALERA,6
1997,U04,CALLE,PIURA,DISTRIBUIDORA PACI SRL.,5
1998,U04,CALLE,BERLIN,REPRESENTACIONES HS,5
2001,U04,CALLE,TARAPACA,RANSA COMERCIAL SA.,118
2002,U04,CALLE,BELLAVISTA,TRANSPORTES 77 SA.,66
2003,U11,CALLE,JUAN FANNING,DISTRIBUIDORA PACI SRL,6
2010,U11,CALLE,RECAVARREN,COMERCIALIZADORA CANAN,135
2011,U04,AVENIDA,PASEO DE LA REP.,TRANSPORTES RKM SA.,5
2015,U04,CALLE,ALFONSO UGARTE,CAOMERCIALIZADORA CANAN SAC.,5
2018,U07,CALLE,BOLOGNESI,VALENCIA JUAREGUI ANTONIO,4
2019,U04,CALLE,BELLAVISTA,TRANSP. DE MERCANCIA CLEAM,66
2023,N56,AVENIDA,PETIT THOUARS,HOLREX EXPRESS,49
2025,N40,CALLE,INCLAN,ET. EDILBERTO RAMOS SAC,15
2027,N14,CALLE,GENERAL VARELA,ET. GRUPO DIEZ SAC.,5
2028,N56,CALLE,DOS DE MAYO,VIRGEN DE LA PUERTA,35
2029,N56,CALLE,DOS DE MAYO,VIRGEN DE LA PUERTA,35
2030,N56,AVENIDA,BENAVIDES,REAL EXPRESS,8
2032,U04,CALLE,BOLOGNESI,DISTRIBUCIONES ROBASA SAC,5
2033,R05,AVENIDA,PASEO DE LA REP.,REYNA ISLA ALCIBIADES,10
2036,U17,CALLE,BERLIN,GRUPO GR CURIC,155
2039,U04,CALLE,PORTA,DISTRIBUCIONES ROBASA SAC.,5
2040,U07,CALLE,DOS DE MAYO,TRANSPORTES 77 SA.,35
2041,R15,AVENIDA,O.R. BENAVIDES,GIRACORP. SERV. MULTIPLES,82
2045,N56,CALLE,CHICLAYO,ATCR,15
2052,U11,CALLE,TARATA,FOOD PACK SAC.,6
2053,N56,AVENIDA,O.R. BENAVIDES,UNIDOS CHAMA,59
2055,N26,AVENIDA,GENERAL CORDOVA,ET. ETMINSA,82
2056,N40,CALLE,CHICLAYO,ATCR,15
2060,N26,AVENIDA,GENERAL CORDOVA,ET. CHAMA SA.,82
2061,N56,AVENIDA,PASEO DE LA REP.,25 DE SETIEMBRE,65
2065,R05,AVENIDA,AREQUIPA,INVERSIONES GEA MOTORS SAC,10
2066,U04,CALLE,JOSE GALVEZ,CODISER DISTRIBUCIONES,5
2067,N40,CALLE,CHICLAYO,ET. GRUPLAN SA.,15
2070,R01,AVENIDA,PETIT THOAURS,LUYO VICENTE CARLOS,8
2071,R05,AVENIDA,AREQUIPA,TAXI NUEVO SAN JUAN,10
2072,N56,CALLE,GERVACIO SANTILLANA,25 DE SETIEMBRE,35
2073,U07,CALLE,GENERAL MENDIBURU,CANALES FLORES PEDRO J.,155
2074,U11,CALLE,JOSE GALVEZ,TRANSPORTES SARUKA SA.,6
2076,N40,CALLE,CHICLAYO,ATCR,15
2087,N56,AVENIDA,PASEO DE LA REP.,ESPECIAL SOLIDARIDAD,65
2088,N56,AVENIDA,PASEO DE LA REP.,ESPECIAL SOLIDARIDAD,65
2089,N56,AVENIDA,GENERAL CORDOVA,ET. GRUPLAN SA.,59
2090,U07,AVENIDA,PASEO DE LA REP.,GRUPO INV. Y TRANS. MENDOZA,113
2091,U04,CALLE,LOS PINOS,COMERCIALIZADORA CANAN,5
2092,N40,CALLE,CHICLAYO,ET. FOCAM SA.,15
2093,N14,CALLE,GENERAL VARELA,ETMINSA,5
2097,R05,AVENIDA,PASEO DE LA REP.,GOMEZ GUTIERREZ A.,10
2099,R05,AVENIDA,PASEO DE LA REP.,ROMERO PEREZ M.,10
2100,R05,AVENIDA,PASEO DE LA REP.,E.T. MOBY DICK,10
2105,U11,CALLE,GRIMALDO DEL SOLAR,DISTRIBUIDORA PACI,6
2107,U04,CALLE,BELLAVISTA,TRANSPORTES 77 SA.,66
2111,U04,AVENIDA,PASEO DE LA REP.,DISTRIBUIDORA ROBASA,5
2115,U11,CALLE,ENRIQUE PALACIOS,GRUPO PANAMUNDO,6
2117,U11,CALLE,JUAN FANNING,DISTRIBUIDORA PACI,6
2120,N24,AVENIDA,PASEO DE LA REP.,ESPECIAL SOLIDARIDAD,65
2122,U11,CALLE,SAN MARTIN,CAPRILLO DE LA CRUZ VICTOR,135
2123,U11,CALLE,ELIAS AGUIRRE,DISTRIBUIDORA PACI SRL.,6
2125,U11,CALLE,LOS CAROLINOS,ODEBRECHI P.I. Y CONSTRUCCION,6
2126,U11,CALLE,INDEPENDENCIA,N.T.C. SERVICIOS GENERALES SAC.,6
2127,U11,CALLE,GARCIA BEDOYA,TRANSPORTES JAC Y H.,6
2128,U11,CALLE,BERLIN,CORPORACION ANDI EIRL.,6
2129,U11,CALLE,ELIAS AGUIRRE,ARIES CARGO SAC,6
2131,N71,AVENIDA,RICARDO PALMA,HOLDIN REAL EXPRESS,161
2132,U04,CALLE,TARAPACA,SERV. LOG. PANIAGUA,5
2133,U04,CALLE,JOSE CHOQUEHUANCA,DISTRIBUIDORA PACI,5
2140,U04,CALLE,JOSE CHOQUEHUANCA,DISTRIBUIDORA PACI,5
2141,U04,AVENIDA,PETIT THOUARS,DISTRIBUCIONES ROBASA SAC.,49
2142,U11,AVENIDA,PASEO DE LA REP.,C. DE TRANSPORTES CARLEY,96
2143,U11,CALLE,GENERAL BORGOÃ‘O,HOFERSA SRL.,6
2144,N71,CALLE,GENERAL BORGOÃ‘O,ET. ANGAMOS,3
2145,U11,CALLE,INDEPENDENCIA,SAN FERNANDO SA.,6
2146,U11,AVENIDA,DIEZ CANSECO,DISTRIBUIDORA PACI SRL.,50
2147,R15,AVENIDA,RICARDO PALMA,REYNAGA TALAVERANO,85
2148,U07,AVENIDA,BENAVIDES,TRANSPORTES 77,113
2149,U07,CALLE,LOS PINOS,DISTRIBUIDORA PACI SRL.,155
2153,R05,AVENIDA,PASEO DE LA REP.,ALAGON ALEGRE SIXTO,10
2156,R05,AVENIDA,AREQUIPA,CHAPARRO CARRILLO WILBER,10
2164,R12,AVENIDA,PETIT THOAURS,ET. MOLITOURS EIRL.,100
2165,U07,CALLE,GENERAL BORGOÃ‘O,INVERSIONES MOY SAC,155
2166,U07,AVENIDA,JORGE CHAVEZ,PALOMINO JORGE CIPRIANO,105
2168,U11,CALLE,MARIA PARADO DE BELLIDO,TORRES REYNAGA ALFREDO,6
2170,R12,AVENIDA,RICARDO PALMA,ET. SVICO LATINO,100
2171,U11,AVENIDA,PASEO DE LA REP.,TRANSPORTES CIPRIANO,96
2172,R15,AVENIDA,MALECON DE LA RESERVA,GLOBAL FAST SAC.,85
2173,U11,CALLE,ATAHUALPA,MENDEZ HUAMAN  S.,6
2185,R15,CALLE,SCHELL,MEGA TOURS  DE LOS OLIVOS,5
2191,N61,AVENIDA,BENAVIDES,HOLREX EXPRESS,8
2192,N61,AVENIDA,BENAVIDES,VIRGEN DE COPACABANA,8
2193,N61,AVENIDA,BENAVIDES,HOLDING EXPRESS,8
2196,R05,AVENIDA,AREQUIPA,ET. CALLAO TAXI TOURS,10
2199,R05,AVENIDA,AREQUIPA,LORENZO ROQUE RUBEN,10
2200,U07,CALLE,BOLOGNESI,ARIES CARGO SAC.,4
2207,U04,CALLE,JOSE CHOQUEHUANCA,DISTRIBUIDORA PACI SRL.,5
2208,U04,AVENIDA,RICARDO PALMA,DISTRIBUIDORA ROBASA,27
2210,N61,AVENIDA,BENAVIDES,URANO TOURS,8
2212,N61,AVENIDA,BENAVIDES,HOLREX EXPRESS,8
2218,N61,AVENIDA,DIEZ CANSECO,HOLREX EXPRESS,8
2219,U17,CALLE,CONTRALMIRANTE MONTERO,SERV. LOGISTICOS PANIAGUA,6
2220,U04,CALLE,GENERAL SUAREZ,DISTRIBUIDORA PACI,111
2221,U11,CALLE,FRANCIA,DISTRIBUIDORA PACI SRL.,6
2228,U04,CALLE,FRANCISCO DE PAULA CAMINO,TRANSPORTES 77,5
2229,R05,AVENIDA,AREQUIPA,GUTIERREZ BELLIDO G.,10
2232,U11,CALLE,JOSE GONZALES,DISTRIBUIDORA ROBASA,6
2233,N61,CALLE,ATAHUALPA,GALILEA EXPRESS,86
2234,N61,AVENIDA,BENAVIDES,URANO TOURS,8
2235,U04,CALLE,PORTA,DISTRIBUCIONES ROBASA SAC,5
2237,U04,CALLE,JUAN FANNING,DISTRIBUIDORA PACI SRL.,5
2240,N34,AVENIDA,BENAVIDES,URANO TOURS,8
2241,U11,CALLE,ARICA,MEJORADA RIVERA JUAN,6
2242,U04,AVENIDA,JORGE CHAVEZ,DISTRIBUCIONES ROBASA,5
2247,N34,AVENIDA,BENAVIDES,TRANSCASTEL,8
2248,R15,AVENIDA,BENAVIDES,GAVILAN LAFFOSE DE GRIJALVA,179
2251,U11,CALLE,ENRIQUE PALACIOS,RANSA COMERCIAL,6
2252,R15,AVENIDA,JOSE PARDO,BASTIDAS PAITAMPOMA,85
2254,U11,AVENIDA,PASEO DE LA REP.,REYES CONTRERAS TEODORA,96
2256,N61,AVENIDA,BENAVIDES,VIRGEN DE COPACABANA,8
2257,N61,AVENIDA,BENAVIDES,VIRGEN DE COPACABANA,8
2260,U11,CALLE,GONZALES PRADA,DISTRIBUIDORA PACI,6
2262,R12,CALLE,SCHELL,SEÃ‘OR TAXI SRL,14
2265,U11,CALLE,CONTRALMIRANTE MONTERO,GARCIA BASILIO OLGA,6
2267,U04,CALLE,MATEO PUMACAHUA,REPARTO PERU SAC,5
2268,U04,CALLE,GRIMALDO DEL SOLAR,TRANSP. J & L. SERV. CARGA,5
2269,R05,AVENIDA,AREQUIPA,ET. CHAVEZ,10
2270,U11,CALLE,08 DE OSCTUBRE,QUISPE MELGAREJO P.,6
2271,U04,CALLE,BERLIN,TRANSPORTES 77 SA.,66
2273,R05,AVENIDA,PASEO DE LA REP.,ROJAS VILLANUEVA YURI,10
2275,U11,AVENIDA,REDUCTO,DEMOLICIONES CACEDA V.,147
2276,U11,AVENIDA,PSJ. TELLO,DISTRIBUCIONES ROBASA,49
2278,U04,CALLE,INDEPENDENCIA,DISTRIBUIDORA PACI,5
2280,U04,AVENIDA,PASEO DE LA REP.,DISTRIBUCIONES PACI,5
2285,U04,CALLE,JOSE CHOQUEHUANCA,DISTRIBUCIONES PACI SRL.,5
2286,N61,AVENIDA,PETIT THOUARS,RAMIRO PRIALE,1
2291,N24,AVENIDA,PASEO DE LA REP.,HOLDING REAL EXPRESS,59
2292,N61,AVENIDA,PETIT THOUARS,ET. 25 DE SETIEMBRE,1
2294,U04,CALLE,GENERAL RECAVARREN,DISTRIBUCIONES ROBASA,5
2295,U11,CALLE,PORTA,DISTRIBUCIONES ROBASA,5
2296,R15,AVENIDA,JOSE LARCO,PUMA PEÃ‘A MOISES,160
2297,R15,AVENIDA,BENAVIDES,INV. Y NEG. METRO TOURS,179
2298,N61,AVENIDA,BENAVIDES,ESPECIAL SOLIDARIDAD,8
2299,U04,CALLE,SAN MARTIN,DURAN PALOMINO ELIZABETH,5
2300,U04,CALLE,SCHELL,PASCUAL CURI BENIGNO,5
2301,R05,AVENIDA,PASEO DE LA REP.,LOZANO SOLIN ANA D.,10
2303,N34,AVENIDA,BENAVIDES,ETRANCISA,8
2305,N61,AVENIDA,BENAVIDES,HOLREX EXPRESS,8
2306,N61,AVENIDA,JOSE LARCO,REAL EXPRESS,8
2313,N24,AVENIDA,PETIT THOUARS,CONSORCIO GOMEZ,16
2315,N61,AVENIDA,BENAVIDES,HRE EXPRESS,8
2316,R05,AVENIDA,AREQUIPA,CASTILLO ZAVALLOS NOEMI,10
2317,U04,CALLE,LOS PINOS,TRANSP. DE MERCANCIA CLEAM,5
2318,U04,CALLE,PORTA,TRANSP. J & L SERV. NACIONAL,5
2319,U04,CALLE,GRIMALDO DEL SOLAR,COMERCIALIZADORA CANAN SAC.,5
2322,U04,CALLE,JUAN FANNING,DISTRIBUIDORA PACI SRL.,5
2323,N34,AVENIDA,PETIT THOUARS,ET. 25 DE SETIEMBRE,49
2324,N34,AVENIDA,O. R. BENAVIDES,ET. UNIDOS CHAMA,8
2325,N61,AVENIDA,BENAVIDES,TRANCASTEL,8
2326,N61,AVENIDA,BENAVIDES,HOLDING EXPRESS,8
2327,N61,AVENIDA,BENAVIDES,ETRASCPSA,8
2329,U11,AVENIDA,DIEZ CANSECO,DISTRIBUIDORA PACI,6
2330,U11,CALLE,GENERAL SUAREZ,TRANSP. J & L SERV.,6
2331,U04,CALLE,GENERAL SUAREZ,DISTRIBUIDORA PACI,111
2333,N61,AVENIDA,PETIT THOUARS,ET. GALILEA EXPRESS,1
2334,R15,AVENIDA,PETIT THOUARS,MENDOZA VILLANUEVA MARIO,85
2339,U07,AVENIDA,RICARDO PALMA,AREQUIPA EXPRESO,154
2342,U07,CALLE,GRIMALDO DEL SOLAR,SALVATIERRA ZARATE ALDO,155
2344,R05,AVENIDA,PASEO DE LA REP.,GIRACORP.  MULTIPLES EIRL.,10
2345,U11,AVENIDA,PASEO DE LA REP.,MATEO CRUCES GARRIAZO,96
2346,U04,AVENIDA,PASEO DE LA REP.,MARIA SOLEDAD  ROSARIO,5
2347,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA SAC.,5
2350,R15,AVENIDA,PASEO DE LA REP.,LARA CARDENAS ADRIAN,174
2351,N61,AVENIDA,PETIT THOUARS,ESPECIAL SOLIDARIDAD,1
2356,U11,CALLE,CONTRALMIRANTE MONTERO,LA CALERA SAC,6
2358,U07,AVENIDA,LA PAZ,MARVIMA SA.,105
2360,U04,CALLE,GONZALES PRADA,TRANSPORTES 77 SA.,66
2363,R15,AVENIDA,PASEO DE LA REP.,LUCKY TAXI EIRL.,174
2370,U11,CALLE,DIEZ CANSECO,DISTRIBUIDORA PACI SRL.,6
2371,R12,AVENIDA,RICARDO PALMA,ET. MOLY TOURS,100
2372,U04,AVENIDA,PASEO DE LA REP.,TRANSPORTES 77 SA.,5
2373,N61,AVENIDA,PETIT THOUARS,RAMIRO PRIALE,1
2376,R15,AVENIDA,PETIT THOAURS,J & J TOURS,85
2380,U07,CALLE,CORONEL INCLAN,ALE RAMIREZ WILMER,155
2381,N44,AVENIDA,BENAVIDES,HOLDING REAL EXPRESS,8
2383,U11,CALLE,CONTRALMIRANTE MONTERO,GARCIA BASILIO OLGA,6
2384,U04,AVENIDA,MARISCAL LA MAR,DISTRIBUIDORA ROBASA SAC.,50
2388,U11,AVENIDA,PETIT THOUARS,DISTRIBUCIONES HUARANCCA,49
2390,U04,AVENIDA,PETIT THOUARS,TRANSPORTES 77 SA.,49
2392,N61,AVENIDA,BENAVIDES,VIRGEN DE COPACABANA,8
2394,R18,AVENIDA,OVALO GUTIERREZ,E.T. J&H EIRL.,72
2395,N61,AVENIDA,PASEO DE LA REP.,NUEVA AMERICA,8
2396,N61,AVENIDA,BENAVIDES,HOLDING EXPRESS,8
2397,N61,AVENIDA,BENAVIDES,HOLDIN REAL EXPRESS,8
2399,N71,CALLE,GENERAL VARELA,ETMIMSA,35
2400,U11,AVENIDA,MALECON BALTA,PANIFICADORA BIMBO DEL PERU,49
2401,U11,AVENIDA,PETIT THOUARS,ESTRELLA ACOSTA ERIKA,49
2402,N61,AVENIDA,BENAVIDES,URANO TOURS SA.,8
2403,N61,AVENIDA,BENAVIDES,HOLDING EXPRESS,8
2404,N61,AVENIDA,BENAVIDES,HOLREX EXPRESS,8
2405,U07,AVENIDA,PASEO DE LA REP.,JK. LIMAYA CONT. GENERAL,113
2406,U07,AVENIDA,PASEO DE LA REP.,JK. LIMAYA CONT. GENERAL,113
2407,U07,AVENIDA,PASEO DE LA REP.,KIMK EIRL,113
2408,R05,AVENIDA,PASEO DE LA REP.,LAMBRUCHINI TARAZONA MARIA,10
2409,U04,CALLE,DOS DE MAYO,SERV. LOGISTICOS PANIAGUA,5
2410,U07,CALLE,LIBERTAD,DISTRIBUIDORA PACI SRL.,155
2411,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA,5
2412,U11,CALLE,JOSE GALVEZ,DISTRIBUIDORA PACI SRL.,6
2413,U11,CALLE,GONZALES PRADA,DISTRIBUIDORA PACI,6
2414,N34,AVENIDA,GENERAL CORDOVA,ET. TABLADA 2000 SA.,8
2415,N61,AVENIDA,BENAVIDES,HRE EXPRESS,8
2419,N71,CALLE,GENERAL VARELA,ATCR,15
2420,U11,CALLE,BELLAVISTA,DISTRIBUCIONES ROBASA,5
2421,U11,CALLE,CONTRALMIRANTE MONTERO,TRANSPORTES 4 & ASOCIADOS,6
2423,N61,AVENIDA,BENAVIDES,HOLREX EXPRESS,8
2424,U04,CALLE,SCHELL,DURAN PALOMINO ELIZABETH,5
2427,U11,CALLE,DOS DE MAYO,DEMO . ESCABACIONES GOMEZ,6
2429,N61,AVENIDA,PETIT THOUARS,BANCHERO ROSI,1
2431,N34,AVENIDA,BENAVIDES,REAL EXPRESS,8
2432,N44,AVENIDA,ANGAMOS OESTE,ET. GRUPLAN SA.,149
2433,N61,CALLE,DOMINGO ELIAS,CILAP,86
2434,N61,AVENIDA,BENAVIDES,HRE EXPRESS,8
2437,N61,AVENIDA,PASEO DE LA REP.,AQUARIUS EXPRES,8
2439,N61,AVENIDA,BENAVIDES,VIRGEN DE COPACABANA,8
2440,R15,AVENIDA,BENAVIDES,TAXI SEGURO SA.,179
2441,U04,AVENIDA,BENAVIDES,DISTRIBUIDORA ROBASA SAC.,8
2442,U04,AVENIDA,BENAVIDES,DISTRIBUIDORA ROBASA SAC.,8
2443,U04,CALLE,TACNA,TRANSP. CARGO LOGISTICA,5
2444,U11,AVENIDA,PASEO DE LA REP.,MORALES CACHO MIGUEL E.,96
2446,U11,CALLE,PIURA,DISTRIBUIDORA PACI SRL.,6
2449,U04,AVENIDA,DIEZ CANSECO,DISTRIBUIDORA PACI,50
2450,N61,AVENIDA,RICARDO PALMA,SALAMANCA EXPRESS,8
2453,U11,CALLE,JUAN DE LA FUENTE,ET. RB.CAR SRL.,6
2458,U11,AVENIDA,PASEO DE LA REP.,FOOD PACK SAC.,96
2460,N61,AVENIDA,BENAVIDES,VIRGEN DE COPACABANA,8
2461,N67,AVENIDA,PASEO DE LA REP.,UNIDOS CHAMA,46
2462,U04,CALLE,LIBERTAD,DISTRIBUCIONES ROBASA,5
2463,N24,AVENIDA,PETIT THOUARS,ESPECIAL SOLIDARIDAD,0
2466,N61,AVENIDA,BENAVIDES,VIRGEN DE COPA CABANA,8
2467,U11,CALLE,BELLAVISTA,DISTRIBUCIONES SEBARO SAC.,6
2468,R12,AVENIDA,JOSE PARDO,ET. CALLAO TAXI TOURS,100
2469,U04,AVENIDA,PASEO DE LA REP.,DISTRIBUIDORA ROBASA SAC.,5
2471,N61,AVENIDA,BENAVIDES,URANO TOURS,8
2472,U07,CALLE,CONTRALMIRANTE MONTERO,TRANSPORTES ECARO,6
2473,U11,AVENIDA,COMANDANTE ESPINAR,DISTRIBUIDORA PACI,137
2474,R05,AVENIDA,AREQUIPA,ET. I. PARA TURISMO,10
2482,U11,CALLE,ELIAS AGUIRRE,DISTRIBUIDORA PACI,6
2483,U04,AVENIDA,PETIT THOUARS,RANSA COMERCIAL SA.,49
2484,R15,AVENIDA,RICARDO PALMA,ET. J&J TOURS SAC,85
2486,N61,AVENIDA,BENAVIDES,VIRGEN DE COPACABANA,8
2487,N61,AVENIDA,BENAVIDES,HOLDING EXPRESS,8
2490,N61,AVENIDA,BENAVIDES,ESPECIAL SOLIDARIDAD,8
2493,R05,AVENIDA,AREQUIPA,ET. ROJO Y BLANCO SA.,10
2494,U07,CALLE,GENERAL  MENDIBURU,RANSA COMERCIAL,155
2499,N71,CALLE,SCHELL,HOLREX EXPRES,3
2500,N61,AVENIDA,BENAVIDES,HRE EXPRESS,8
2501,N61,AVENIDA,BENAVIDES,VIRGEN DE COPACABANA,8
2502,N61,AVENIDA,BENAVIDES,HOLDING EXPRESS,8
2503,R05,AVENIDA,AREQUIPA,INVER. Y NEG. GOL TOURS,10
2505,U11,CALLE,JOSE TORIBIO POLO,DISTRIBUIDORA PACI SRL.,6
2507,N67,AVENIDA,O.R. BENAVIDES,UNIDOS CHAMA,46
2508,R05,AVENIDA,AREQUIPA,SALAZAR CHICLLA PIO,10
2509,N61,AVENIDA,BENAVIDES,HOLDING EXPRESS,8
2520,N34,AV.,BENAVIDES,ETRANCISA,31
2521,U07,AV.,PASEO DE LA REPUBLICA,GUTIERREZ CENTENO W.,30
2524,U07,CA.,BOLIVAR,DISTRIBUCIONES ROBASA,4
2525,N61,AV.,BENAVIDES,ESPECIAL SOLIDARIDAD,22
2526,R05,AV.,PASEO DE LA REPUBLICA,HUILLCA GUEVARA M.,11
2527,U04,AV.,DIEZ CANSECO,DISTRIBUCIONES ROBASA,140
2530,N67,AV.,BENAVIDES,HOLDING REAL EXPRESS,55
2531,R15,AV.,PETIT THOUARS,ROMERO DIAZ SANTIAGO,1
2537,R05,AV.,AREQUIPA,CASTILLA AYRA LUIS,10
2540,N61,AV.,BENAVIDES,HOLREX,31
2541,N61,AV.,BENAVIDES,ESPECIAL SOLIDARIDAD,22
2542,N61,AV.,BENAVIDES,SALAMANCA EXPRESS,31
2543,U11,AV.,PASEO DE LA REP.,GRUPO GONYL,26
2548,U04,CA.,PORTA,DISTRIBUCIONES ROBASA,5
2549,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA,104
2550,U07,AV.,COMANDANTE ESPINAR,CHAVEZ DE ALANIA M.,163
2553,U11,CA.,GRIMALDO DEL SOLAR,MARTINEZ CCANTO WILIAM,108
2554,R05,AV.,AREQUIPA,SIMARRA PEÃ‘A LUIS,10
2555,N61,AV.,BENAVIDES,REAL EXPRESS,31
2557,N61,AV.,JOSE LARCO,RAMIRO PRIALE PRIALE,47
2559,U17,CA.,CONTRALMIRANTE MONTERO,VICELY SAC.,19
2561,N67,AV.,BENAVIDES,HOLDING REAL EXPRESS,55
2563,N34,AV.,BENAVIDES,URANO TOURS,31
2564,U11,CA.,GRIMALDO DEL SOLAR,MARTINEZ CCANTO WILIAM,108
2566,U07,AV.,PETIT THOUARS,REPRESENTACIONES FBA,53
2569,U11,CA.,GRIMALDO DEL SOLAR,MARTINEZ CCANTO WILIAM,108
2590,R12,AV.,JOSE LARCO,ET. TAXI TOURS JUNIOR,7
2591,R15,AV.,BENAVIDES,PUMA PEÃ‘A MOISES,31
2595,R12,AV.,JOSE PARDO,GLOBAL FAST,29
2599,N61,AV.,JOSE LARCO,CONSORCIO ROMA,47
2612,R15,AV.,JOSE LARCO,ET. Y SERV. MULT. JIRHE,7
2616,R12,AV.,JOSE LARCO,SANTISIMA VIRGEN,7
2617,R12,AV.,JOSE PARDO,CORP. TRANSP. PERUANO REYES,29
2619,R15,CA.,SCHELL,YAULLI GUZMAN JORGE G.,14
2620,N61,AV.,JOSE LARCO,ET. BANCHERO ROSSI,47
2621,N61,AV.,JOSE LARCO,CALIFORNIA SIGLO XXI,47
2622,R15,CA.,SCHELL,ET. TAXI SPEED,14
2624,R12,CA.,SCHELL,ET. MOLITOURS,14
2627,R13,CA.,SCHELL,PALOMINO URIASQUEZ NORA,126
2637,R15,CA.,SCHELL,MEGO SAAVEDRA V.,14
2639,R15,AV.,JOSE LARCO,ESTRADA RETEZ S.,7
2647,N61,AV.,ANGAMOS ESTE,ET. ANGAMOS,51
2652,R13,CA.,GENERAL SUAREZ,PANDAL MENDOZA J.,111
2653,R15,AV.,JOSE LARCO,ET. CALLAO TAXI T. SAC.,7
2659,R05,AV.,PASEO DE LA REPUBLICA,MALDONADO BUSTAMANTE,11
2667,R05,AV.,AREQUIPA,ET. TAXI TOURS,10
2669,U07,CA.,LAS DALIAS,VILLA 81 SAC.,4
2670,U11,CA.,GENERAL BORGOÃ‘O,DMV SERV. Y TRANSPORTES,108
2671,R05,AV.,AREQUIPA,ESPINOZA CAMPOMANES B.,10
2673,U07,AV.,PETIT THOUARS,RANSA COMERCIAL SA.,53
2675,U04,CA.,BERLIN,DURAND PALOMINO ELIZABETH,104
2677,R05,AV.,ANAGAMOS OESTE,LOS LIDERES DEL TRANSPORTE,11
